Ticker,Company Name,Sector,Industry
ACY,N/A,N/A,N/A
AE,N/A,N/A,N/A
AGX,"Argan, Inc.",Industrials,Engineering & Construction
APT,"Alpha Pro Tech, Ltd.",Industrials,Building Products & Equipment
ATRS,N/A,N/A,N/A
AVD,American Vanguard Corporation,Basic Materials,Agricultural Inputs
BDR,N/A,N/A,N/A
BKJ,N/A,N/A,N/A
BRN,"Barnwell Industries, Inc.",Energy,Oil & Gas E&P
CAW,N/A,N/A,N/A
CCF,N/A,N/A,N/A
CTO,"CTO Realty Growth, Inc.",Real Estate,REIT - Diversified
CVM,CEL-SCI Corporation,Healthcare,Biotechnology
DLA,N/A,N/A,N/A
EGO,Eldorado Gold Corporation,Basic Materials,Gold
EMAN,N/A,N/A,N/A
EML,The Eastern Company,Industrials,Tools & Accessories
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery
EPM,Evolution Petroleum Corporation,Energy,Oil & Gas E&P
ESP,Espey Mfg. & Electronics Corp.,Industrials,Electrical Equipment & Parts
FLL,"Full House Resorts, Inc.",Consumer Cyclical,Resorts & Casinos
FRD,"Friedman Industries, Incorporated",Basic Materials,Steel
GEL,"Genesis Energy, L.P.",Energy,Oil & Gas Midstream
GHM,Graham Corporation,Industrials,Specialty Industrial Machinery
GORO,Gold Resource Corporation,Basic Materials,Other Precious Metals & Mining
GSB,N/A,N/A,N/A
GV,Visionary Holdings Inc.,Consumer Defensive,Education & Training Services
GVP,N/A,N/A,N/A
IDN,"Intellicheck, Inc.",Technology,Software - Application
IEC,N/A,N/A,N/A
IMH,N/A,N/A,N/A
ITI,N/A,N/A,N/A
LCI,N/A,N/A,N/A
LNG,"Cheniere Energy, Inc.",Energy,Oil & Gas Midstream
LTS,N/A,N/A,N/A
LXU,"LSB Industries, Inc.",Basic Materials,Chemicals
MGT,N/A,N/A,N/A
MHH,"Mastech Digital, Inc.",Industrials,Staffing & Employment Services
MPB,"Mid Penn Bancorp, Inc.",Financial Services,Banks - Regional
MXC,Mexco Energy Corporation,Energy,Oil & Gas E&P
NBR,Nabors Industries Ltd.,Energy,Oil & Gas Drilling
NGS,"Natural Gas Services Group, Inc.",Energy,Oil & Gas Equipment & Services
NHC,National HealthCare Corporation,Healthcare,Medical Care Facilities
NHI,"National Health Investors, Inc.",Real Estate,REIT - Healthcare Facilities
PGC,Peapack-Gladstone Financial Corporation,Financial Services,Banks - Regional
PHX,N/A,N/A,N/A
PLX,"Protalix BioTherapeutics, Inc.",Healthcare,Biotechnology
PMD,N/A,N/A,N/A
PSB,N/A,N/A,N/A
PTN,N/A,Healthcare,Biotechnology
RGRX,"RegeneRx Biopharmaceuticals, Inc.",Healthcare,Biotechnology
RNN,N/A,N/A,N/A
ROX,N/A,N/A,N/A
SEB,Seaboard Corporation,Industrials,Conglomerates
SGB,N/A,N/A,N/A
SIF,"SIFCO Industries, Inc.",Industrials,Aerospace & Defense
SSN,N/A,N/A,N/A
TTNP,N/A,N/A,N/A
TWO,Two Harbors Investment Corp.,Real Estate,REIT - Mortgage
UMH,"UMH Properties, Inc.",Real Estate,REIT - Residential
UQM,"UQM Technologies, Inc.",N/A,N/A
UVE,"Universal Insurance Holdings, Inc.",Financial Services,Insurance - Property & Casualty
XPL,Solitario Resources Corp.,Basic Materials,Other Industrial Metals & Mining
